1.3717	-117.08	-145.7
1.5298	-114.6	-144.63
1.4172	-112.17	-143.4
1.0886	-109.77	-142.03
0.59833	-107.39	-140.58
0.00091118	-105.02	-139.06
-0.64918	-102.65	-137.52
-1.2975	-100.27	-135.99
-1.8895	-97.858	-134.5
-2.3707	-95.417	-133.09
-2.7017	-92.932	-131.78
-2.9077	-90.409	-130.56
-3.0319	-87.856	-129.42
-3.1172	-85.281	-128.33
-3.2054	-82.692	-127.27
-3.3112	-80.09	-126.21
-3.4211	-77.473	-125.08
-3.52	-74.836	-123.83
-3.5929	-72.175	-122.4
-3.6271	-69.487	-120.8
-3.613	-66.771	-119.13
-3.5418	-64.026	-117.5
-3.4045	-61.251	-116.04
-3.1991	-58.448	-114.81
-2.9501	-55.625	-113.79
-2.6877	-52.791	-112.89
-2.4423	-49.958	-112.06
-2.2356	-47.135	-111.24
-2.0447	-44.334	-110.44
-1.8317	-41.567	-109.69
-1.5585	-38.844	-109.02
-1.1883	-36.177	-108.48
-0.7125	-33.548	-108.07
-0.1558	-30.907	-107.73
0.45517	-28.203	-107.43
1.0938	-25.384	-107.12
1.7362	-22.416	-106.78
2.3705	-19.337	-106.45
2.9882	-16.208	-106.22
3.5811	-13.091	-106.15
4.1407	-10.046	-106.32
4.6704	-7.105	-106.76
5.1925	-4.2488	-107.44
5.731	-1.4553	-108.3
6.3103	1.2981	-109.31
6.9536	4.0333	-110.41
7.6629	6.7463	-111.6
8.4163	9.4048	-112.91
9.1905	11.975	-114.36
9.9625	14.423	-115.98
10.71	16.718	-117.81
11.423	18.854	-119.82
12.104	20.85	-121.99
12.753	22.724	-124.28
13.371	24.494	-126.64
13.965	26.164	-129.04
14.56	27.691	-131.47
15.185	29.023	-133.92
15.869	30.105	-136.38
16.64	30.89	-138.84
17.506	31.385	-141.3
18.469	31.627	-143.79
19.528	31.657	-146.31
20.683	31.51	-148.89
21.932	31.198	-151.49
23.273	30.7	-154.04
24.703	29.997	-156.49
26.219	29.068	-158.77
27.82	27.917	-160.84
29.51	26.617	-162.74
31.295	25.258	-164.54
33.179	23.928	-166.32
35.167	22.707	-168.12
37.237	21.579	-169.95
39.348	20.449	-171.73
41.46	19.222	-173.4
43.531	17.802	-174.88
45.534	16.128	-176.15
47.48	14.234	-177.21
49.386	12.175	-178.12
51.273	10.006	-178.91
53.157	7.7798	-179.62
55.017	5.5114	-180.28
56.787	3.1705	-180.88
58.397	0.72396	-181.41
59.778	-1.8613	-181.87
60.868	-4.6117	-182.25
61.655	-7.5083	-182.56
62.149	-10.513	-182.8
62.358	-13.59	-182.97
62.291	-16.699	-183.08
61.957	-19.805	-183.14
61.364	-22.871	-183.18
60.52	-25.861	-183.22
59.431	-28.741	-183.3
58.105	-31.474	-183.43
56.55	-34.024	-183.67
54.774	-36.357	-184.02
52.783	-38.436	-184.52
50.586	-40.226	-185.21
